question,answer,source
<@UGZ7TLBBJ> has joined the channel,<@UGZ7TLBBJ> has joined the channel,Slack #corp-ops-all
みなさん、遅ればせながらIT Strategy Divisionのチャネルを作りました！  このDivisionは全事業に関わるIT戦略を立て、実行することでUBとしての経営基盤を進化させるDivisionです。全員で素晴らしいチームを作っていきたいと考えていますし、私自身、改善できるところはどんどん改善していきます。 みなさん改めてよろしくお願いします！,みなさん、遅ればせながらIT Strategy Divisionのチャネルを作りました！  このDivisionは全事業に関わるIT戦略を立て、実行することでUBとしての経営基盤を進化させるDivisionです。全員で素晴らしいチームを作っていきたいと考えていますし、私自身、改善できるところはどんどん改善していきます。 みなさん改めてよろしくお願いします！,Slack #corp-ops-all
<@U014RV27HS8> 顔合わせ（合宿?）の話を前にしましたが、予定組むのお願いしてもいいですか？,<@U014RV27HS8> 顔合わせ（合宿?）の話を前にしましたが、予定組むのお願いしてもいいですか？,Slack #corp-ops-all
次回のSPEEDA H2Hセミナー、DXがテーマなので興味のある人は参加してもらうといいかも。ちなみに過去セミナーはアーカイブでも見れます。 <https://jp.ub-speeda.com/seminar/20210414/>,次回のSPEEDA H2Hセミナー、DXがテーマなので興味のある人は参加してもらうといいかも。ちなみに過去セミナーはアーカイブでも見れます。 <https://jp.ub-speeda.com/seminar/20210414/>,Slack #corp-ops-all
<!here> 「まずは自分を知ってもらわないと始まらないよね！」ということで、週報を投稿するようにしたいと思います。 続けることが大事なので、短めで。   :harry:*張替週報*:harry:  *■仕事* 今週はひたすら経営会議の一週間。いやー、予定詰まりすぎてめちゃくちゃ疲れました。修正事業計画も急ピッチで作ったり。けど同時に、最高にワクワクして面白いです。水曜の経営合宿でも「もっとここに投資して効率化していきたい！」と未来に向けた議論をしっかりできてよかったー。  以下は山中さんから伝え聞いた新野さんの話なんですが、ヒリヒリしているときにはいつもこれを思い起こして、支えにしています。ヒリヒリとワクワクのバランスが大事。 ```「人は楽しいだけでも辛いだけでも成長しないし、偉大な結果は出せないよね。めちゃくちゃ辛いのに、その痛みが何故か気持ち良い、楽しいという状態がベストだよね。部活とかめっちゃ吐きそうなのに、次の試合に勝ちたいから筋トレするじゃん。それと同じ。俺らはその両方がないとダメだよな、ガハハハハ！」``` *■仕事以外* 先週は金曜に有給を取って、那須塩原に行ってきました。前日が1Q打ち上げで朝まで飲んでたので、移動がきつかった、、、温泉は最高でした。,<!here> 「まずは自分を知ってもらわないと始まらないよね！」ということで、週報を投稿するようにしたいと思います。 続けることが大事なので、短めで。   :harry:*張替週報*:harry:  *■仕事* 今週はひたすら経営会議の一週間。いやー、予定詰まりすぎてめちゃくちゃ疲れました。修正事業計画も急ピッチで作ったり。けど同時に、最高にワクワクして面白いです。水曜の経営合宿でも「もっとここに投資して効率化していきたい！」と未来に向けた議論をしっかりできてよかったー。  以下は山中さんから伝え聞いた新野さんの話なんですが、ヒリヒリしているときにはいつもこれを思い起こして、支えにしています。ヒリヒリとワクワクのバランスが大事。 ```「人は楽しいだけでも辛いだけでも成長しないし、偉大な結果は出せないよね。めちゃくちゃ辛いのに、その痛みが何故か気持ち良い、楽しいという状態がベストだよね。部活とかめっちゃ吐きそうなのに、次の試合に勝ちたいから筋トレするじゃん。それと同じ。俺らはその両方がないとダメだよな、ガハハハハ！」``` *■仕事以外* 先週は金曜に有給を取って、那須塩原に行ってきました。前日が1Q打ち上げで朝まで飲んでたので、移動がきつかった、、、温泉は最高でした。,Slack #corp-ops-all
盛り上げたい笑,盛り上げたい笑,Slack #corp-ops-all
誰かIT Strategy Divisionのグループメンションを作ってくれると助かるなぁ,誰かIT Strategy Divisionのグループメンションを作ってくれると助かるなぁ,Slack #corp-ops-all
<@U014RV27HS8> 顔合わせのMTGってもう入れてもらいましたっけ？,<@U014RV27HS8> 顔合わせのMTGってもう入れてもらいましたっけ？,Slack #corp-ops-all
<@U014RV27HS8> BPRの採用を進めるにあたって、こないだのNewSchoolの会の蒲原さんの動画を採用エージェントに共有して、どんな人なのか理解してもらいたいと思ってます。 特定の採用エージェントに以下のドライブへのアクセス権限を付与したいと思うんですが、何か手続き必要でしたっけ？ <https://drive.google.com/drive/folders/1JVhwxWq4u-xNGCLw8lKkxbH4TqbjVQbG>,<@U014RV27HS8> BPRの採用を進めるにあたって、こないだのNewSchoolの会の蒲原さんの動画を採用エージェントに共有して、どんな人なのか理解してもらいたいと思ってます。 特定の採用エージェントに以下のドライブへのアクセス権限を付与したいと思うんですが、何か手続き必要でしたっけ？ <https://drive.google.com/drive/folders/1JVhwxWq4u-xNGCLw8lKkxbH4TqbjVQbG>,Slack #corp-ops-all
<@U0SBPJ484> <@U014RV27HS8> SPEEDA Asiaの契約社数を正確に集計しよう、という話が出ているんですが、取引先統合の話にも関わるので共有します。SPEEDAでは基本的に法人番号で法人を特定していますが（ベンチャーキャピタルとかの例外はあるが）、Asiaでは支社やエリアなどで取引先が登録されていて、法人数を簡単には確認できない状態です。  同様の話がNPや他事業でも今後出てくる可能性は高いので、「どのように法人を特定するか（法人数をカウントするか）」を整理したいと思っています。特に、SPEEDA Asiaについては1Q決算で契約社数を開示する可能性もあるので、早めに進めようと思います。  テンポラリチャネル作るので、インバイトしますね。,<@U0SBPJ484> <@U014RV27HS8> SPEEDA Asiaの契約社数を正確に集計しよう、という話が出ているんですが、取引先統合の話にも関わるので共有します。SPEEDAでは基本的に法人番号で法人を特定していますが（ベンチャーキャピタルとかの例外はあるが）、Asiaでは支社やエリアなどで取引先が登録されていて、法人数を簡単には確認できない状態です。  同様の話がNPや他事業でも今後出てくる可能性は高いので、「どのように法人を特定するか（法人数をカウントするか）」を整理したいと思っています。特に、SPEEDA Asiaについては1Q決算で契約社数を開示する可能性もあるので、早めに進めようと思います。  テンポラリチャネル作るので、インバイトしますね。,Slack #corp-ops-all
