question,answer,source
<@UGZ7TLBBJ> has joined the channel,<@UGZ7TLBBJ> has joined the channel,Slack #ub-board
開発起案が今日期限だったので、先ほど起案しておきました,開発起案が今日期限だったので、先ほど起案しておきました,Slack #ub-board
<@U06FZPTPL6N> 意思決定者の問題なので、ユーザージャーニー（何が実現したいのか）を決められる人であれば、経営会議メンバーでなくても大丈夫ですね。,<@U06FZPTPL6N> 意思決定者の問題なので、ユーザージャーニー（何が実現したいのか）を決められる人であれば、経営会議メンバーでなくても大丈夫ですね。,Slack #ub-board
<@U06FZPTPL6N> Solution Domainの田口さんって、P田口さんでしょうか？（起案DBにバイネームで設定するため正確に認識したく）,<@U06FZPTPL6N> Solution Domainの田口さんって、P田口さんでしょうか？（起案DBにバイネームで設定するため正確に認識したく）,Slack #ub-board
起案したはずですが、確認しますね,起案したはずですが、確認しますね,Slack #ub-board
こちらに起案されていますね <https://www.notion.so/uzabase/Salesforce-NPSalesforce-15258a33603581f39b8bfe5fbeeb8593?pvs=4>,こちらに起案されていますね <https://www.notion.so/uzabase/Salesforce-NPSalesforce-15258a33603581f39b8bfe5fbeeb8593?pvs=4>,Slack #ub-board
<@U06FZPTPL6N> 対応策を考えるために「大きな差分がある場合、その要因」は把握しておきたい感はあります。 それ以外はあまり貢献できなそうでした。  なので、個人的には、前半で網羅的に数字確認して、後半に施策検討するようにアジェンダを切り分ける構成にしてもらって、僕は後半だけ参加するのが一番助かります。（ただもちろん作田さんや傑さんや翔陽さんなど事業SVPの方が一番やりやすい形で大丈夫です）,<@U06FZPTPL6N> 対応策を考えるために「大きな差分がある場合、その要因」は把握しておきたい感はあります。 それ以外はあまり貢献できなそうでした。  なので、個人的には、前半で網羅的に数字確認して、後半に施策検討するようにアジェンダを切り分ける構成にしてもらって、僕は後半だけ参加するのが一番助かります。（ただもちろん作田さんや傑さんや翔陽さんなど事業SVPの方が一番やりやすい形で大丈夫です）,Slack #ub-board
※補足 武藤さんにもOTCの追加を検討できないか確認しているんですが、メンバー工数がネックになって、OTC予算を増やしても結局動けない、というコメントをもらっています。 ただ、以前武藤さん・蒲原さんから「OTC予算を増やしたい」という話ももらっていてちょっと矛盾している感じがあるので、王さんにも入ってもらって具体を確認中です。 <https://uzabase.slack.com/archives/C05DCH97U4D/p1736405308791319?thread_ts=1736405006.064119&amp;cid=C05DCH97U4D>,※補足 武藤さんにもOTCの追加を検討できないか確認しているんですが、メンバー工数がネックになって、OTC予算を増やしても結局動けない、というコメントをもらっています。 ただ、以前武藤さん・蒲原さんから「OTC予算を増やしたい」という話ももらっていてちょっと矛盾している感じがあるので、王さんにも入ってもらって具体を確認中です。 <https://uzabase.slack.com/archives/C05DCH97U4D/p1736405308791319?thread_ts=1736405006.064119&amp;cid=C05DCH97U4D>,Slack #ub-board
<@U04LK3VQ1B7> IT戦略ガバナンス会議に、AnC新リーダーの渡邊さんをインバイトお願いできますか？各種システムPJは内部統制上もインパクトが大きいので、AnCと情報同期できる構造にしたく。,<@U04LK3VQ1B7> IT戦略ガバナンス会議に、AnC新リーダーの渡邊さんをインバイトお願いできますか？各種システムPJは内部統制上もインパクトが大きいので、AnCと情報同期できる構造にしたく。,Slack #ub-board
<@U04LK3VQ1B7> まだあまり進んでないかもしれませんが、以下の件ってどうなりました？ &gt; ・OTCや追加予算の可能性整理,<@U04LK3VQ1B7> まだあまり進んでないかもしれませんが、以下の件ってどうなりました？ &gt; ・OTCや追加予算の可能性整理,Slack #ub-board
影響あるので精査が必要ですね。,影響あるので精査が必要ですね。,Slack #ub-board
たぶん案件入れ替えの話ですよね？であれば２つの案件を同じ指標で比較する必要があると思いますが、何を算出すれば良いでしょうか？,たぶん案件入れ替えの話ですよね？であれば２つの案件を同じ指標で比較する必要があると思いますが、何を算出すれば良いでしょうか？,Slack #ub-board
期中の案件入れ替えについては過去にも何度も発生していますが、そのたびに調整コストがかかって大変なので、以下のようなルールを経営会議で合意していました。今の体制に照らすと ①各SEOの管掌範囲内で調整するのが原則 ②それを超えて調整できるのは、入れ替えることによる財務インパクトが売上高/利益に換算して◯万円以上の場合のみ といったルールで運用するのがいいかと思います  <https://uzabase.enterprise.slack.com/archives/C05DCH97U4D/p1712655702563789|https://uzabase.enterprise.slack.com/archives/C05DCH97U4D/p1712655702563789>,期中の案件入れ替えについては過去にも何度も発生していますが、そのたびに調整コストがかかって大変なので、以下のようなルールを経営会議で合意していました。今の体制に照らすと ①各SEOの管掌範囲内で調整するのが原則 ②それを超えて調整できるのは、入れ替えることによる財務インパクトが売上高/利益に換算して◯万円以上の場合のみ といったルールで運用するのがいいかと思います  <https://uzabase.enterprise.slack.com/archives/C05DCH97U4D/p1712655702563789|https://uzabase.enterprise.slack.com/archives/C05DCH97U4D/p1712655702563789>,Slack #ub-board
