question,answer,source
<@UGZ7TLBBJ> has joined the channel,<@UGZ7TLBBJ> has joined the channel,Slack #corp-ops-opsplan-all
2024/7/1発足予定のOperations Planning Divisionのチャネルです。,2024/7/1発足予定のOperations Planning Divisionのチャネルです。,Slack #corp-ops-opsplan-all
組織変更関連でやり取りする必要が出ると思うので、正式発足を待たずに先行してチャネル作りました,組織変更関連でやり取りする必要が出ると思うので、正式発足を待たずに先行してチャネル作りました,Slack #corp-ops-opsplan-all
現在隔週で設定している「Sales Dev Weekly MTG」の参加者とDivisionメンバーが一致しているので、この会議体をそのままDivision定例に変えます。6/11分から変更します。,現在隔週で設定している「Sales Dev Weekly MTG」の参加者とDivisionメンバーが一致しているので、この会議体をそのままDivision定例に変えます。6/11分から変更します。,Slack #corp-ops-opsplan-all
Div定例のファシリ・議事録担当表にクミさんとヒデさんも組み込みました（Divメンバー全員で回す）。,Div定例のファシリ・議事録担当表にクミさんとヒデさんも組み込みました（Divメンバー全員で回す）。,Slack #corp-ops-opsplan-all
いま僕がプレイヤー的に動いているプロジェクトについて、徐々にPlanning Divメンバーで対応する形に移行していこうと思うので、ちょいちょい情報共有しますね。いずれもスピーダSalesforceの基礎設計に関わるので、うまく分担・連携しながら進めたいですね  • 価格・稟議     ◦ <https://www.figma.com/board/EDdzmA8p0mcjizUQ2jv76g/%E4%BE%A1%E6%A0%BC%E4%BD%93%E7%B3%BB%E3%81%AE%E6%A4%9C%E8%A8%8E?node-id=4-1228&amp;t=nDCv4EmG3nbPyjpU-4|プライシングロジック（概念）>　・・・ビジネスサイドとの方針合意が重要 → 現在の延長で張替（OpsDev）が合意しきるのが良い     ◦ <https://docs.google.com/spreadsheets/d/1Cz7B6hzvA97IzRk8nK8XKaojUHaWR5gdFenRV-a65xo/edit#gid=1857310117|価格表・商品マスタ>　・・・システム上の表現が重要 → ITSメインでシステム設計に移ると良い     ◦ <https://www.figma.com/board/EDdzmA8p0mcjizUQ2jv76g/%E4%BE%A1%E6%A0%BC%E4%BD%93%E7%B3%BB%E3%81%AE%E6%A4%9C%E8%A8%8E?node-id=20-671&amp;t=mYjw6NURrE5t6VhF-4|ディスカウントの裁量>　・・・価格表と承認権限の接続が重要 → BPMメインで業務設計に移ると良い     ◦ <https://docs.google.com/spreadsheets/d/1M-U4uEvCEYzwC203nZuCf1bIunjRM69BWfmI2bSei8E/edit#gid=1271456198|その他売上関連細則>　・・・システム設定を見据えた契約項目共通化と稟議フローの設計が重要 → BPMメインで業務設計に移ると良い • 契約体系     ◦ <https://docs.google.com/spreadsheets/d/1M-U4uEvCEYzwC203nZuCf1bIunjRM69BWfmI2bSei8E/edit#gid=0|契約項目の共通化>　・・・ビジネスサイドとの方針合意が重要 → OpsDevメインで関係者との合意形成を進めるのが良い     ◦ <https://www.figma.com/board/EDdzmA8p0mcjizUQ2jv76g/%E4%BE%A1%E6%A0%BC%E4%BD%93%E7%B3%BB%E3%81%AE%E6%A4%9C%E8%A8%8E?node-id=20-671&amp;t=nDCv4EmG3nbPyjpU-4|包括契約>　・・・ビジネスサイドとの方針合意が重要 → OpsDevメインで関係者との合意形成を進めるのが良い,いま僕がプレイヤー的に動いているプロジェクトについて、徐々にPlanning Divメンバーで対応する形に移行していこうと思うので、ちょいちょい情報共有しますね。いずれもスピーダSalesforceの基礎設計に関わるので、うまく分担・連携しながら進めたいですね  • 価格・稟議     ◦ <https://www.figma.com/board/EDdzmA8p0mcjizUQ2jv76g/%E4%BE%A1%E6%A0%BC%E4%BD%93%E7%B3%BB%E3%81%AE%E6%A4%9C%E8%A8%8E?node-id=4-1228&amp;t=nDCv4EmG3nbPyjpU-4|プライシングロジック（概念）>　・・・ビジネスサイドとの方針合意が重要 → 現在の延長で張替（OpsDev）が合意しきるのが良い     ◦ <https://docs.google.com/spreadsheets/d/1Cz7B6hzvA97IzRk8nK8XKaojUHaWR5gdFenRV-a65xo/edit#gid=1857310117|価格表・商品マスタ>　・・・システム上の表現が重要 → ITSメインでシステム設計に移ると良い     ◦ <https://www.figma.com/board/EDdzmA8p0mcjizUQ2jv76g/%E4%BE%A1%E6%A0%BC%E4%BD%93%E7%B3%BB%E3%81%AE%E6%A4%9C%E8%A8%8E?node-id=20-671&amp;t=mYjw6NURrE5t6VhF-4|ディスカウントの裁量>　・・・価格表と承認権限の接続が重要 → BPMメインで業務設計に移ると良い     ◦ <https://docs.google.com/spreadsheets/d/1M-U4uEvCEYzwC203nZuCf1bIunjRM69BWfmI2bSei8E/edit#gid=1271456198|その他売上関連細則>　・・・システム設定を見据えた契約項目共通化と稟議フローの設計が重要 → BPMメインで業務設計に移ると良い • 契約体系     ◦ <https://docs.google.com/spreadsheets/d/1M-U4uEvCEYzwC203nZuCf1bIunjRM69BWfmI2bSei8E/edit#gid=0|契約項目の共通化>　・・・ビジネスサイドとの方針合意が重要 → OpsDevメインで関係者との合意形成を進めるのが良い     ◦ <https://www.figma.com/board/EDdzmA8p0mcjizUQ2jv76g/%E4%BE%A1%E6%A0%BC%E4%BD%93%E7%B3%BB%E3%81%AE%E6%A4%9C%E8%A8%8E?node-id=20-671&amp;t=nDCv4EmG3nbPyjpU-4|包括契約>　・・・ビジネスサイドとの方針合意が重要 → OpsDevメインで関係者との合意形成を進めるのが良い,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> 突貫依頼ですみません。来週月曜目途でもらえると助かります。  スピーダ経営会議での支払サイクルの共通化の議論のために、現在の「SPEEDA」「SPEEDA Asia」「FORCAS」「INITIAL」「SPEEDA Edge」「NewsPicks Premium法人契約（プレ法）」「NewsPicks Learning」「NewsPicks Enterprise」それぞれについて、一括/月払い/半期/四半期の件数と、そのMRRを集計したいのですが、可能でしょうか？  ちなみに、方向性としては「一括支払がデフォルト。それ以外は、資本コスト分（〇%）を価格転嫁して、標準化する（承認不要）」が賛成多数です。この形にできれば、支払サイクルに関する稟議が不要になります。,<@UFV0JQ5N0> 突貫依頼ですみません。来週月曜目途でもらえると助かります。  スピーダ経営会議での支払サイクルの共通化の議論のために、現在の「SPEEDA」「SPEEDA Asia」「FORCAS」「INITIAL」「SPEEDA Edge」「NewsPicks Premium法人契約（プレ法）」「NewsPicks Learning」「NewsPicks Enterprise」それぞれについて、一括/月払い/半期/四半期の件数と、そのMRRを集計したいのですが、可能でしょうか？  ちなみに、方向性としては「一括支払がデフォルト。それ以外は、資本コスト分（〇%）を価格転嫁して、標準化する（承認不要）」が賛成多数です。この形にできれば、支払サイクルに関する稟議が不要になります。,Slack #corp-ops-opsplan-all
メモ planning div定例で、イレギュラー・システム外案件の追加・変更・削除を確認する運用にする <https://docs.google.com/spreadsheets/d/1fZaL2pb0PZ11xt9xEe93FL4iFdRyWs8KPCnerus5TII/edit|https://docs.google.com/spreadsheets/d/1fZaL2pb0PZ11xt9xEe93FL4iFdRyWs8KPCnerus5TII/edit>,メモ planning div定例で、イレギュラー・システム外案件の追加・変更・削除を確認する運用にする <https://docs.google.com/spreadsheets/d/1fZaL2pb0PZ11xt9xEe93FL4iFdRyWs8KPCnerus5TII/edit|https://docs.google.com/spreadsheets/d/1fZaL2pb0PZ11xt9xEe93FL4iFdRyWs8KPCnerus5TII/edit>,Slack #corp-ops-opsplan-all
<!channel> 先ほどの話をもとに、Operations Planning Division定例を1時間に延ばしました。一部予定が被っている人がいると思うので、調整をお願いします。,<!channel> 先ほどの話をもとに、Operations Planning Division定例を1時間に延ばしました。一部予定が被っている人がいると思うので、調整をお願いします。,Slack #corp-ops-opsplan-all
<!channel> Operation Planning Division定例のアジェンダに、「レクチャータイム」を入れようかと思います。持ち回りで各自がほかの人に教えられることを共有するイメージ。  足元では、1か月程度は僕が担当しようと思います。特に、ファイナンス観点での「経済合理性」のスキルをみんな身に着けてもらいたく、実例を交えて話そうと思います。,<!channel> Operation Planning Division定例のアジェンダに、「レクチャータイム」を入れようかと思います。持ち回りで各自がほかの人に教えられることを共有するイメージ。  足元では、1か月程度は僕が担当しようと思います。特に、ファイナンス観点での「経済合理性」のスキルをみんな身に着けてもらいたく、実例を交えて話そうと思います。,Slack #corp-ops-opsplan-all
