question,answer,source
<@U0SBPJ484> 別スレッドでも話しましたが、「マーケから商談作成の業務フロー」「組織ごとのSalesforce環境の選択」「商談フェーズ」「帳票レイアウト」「管理用項目」「データ移行方針」等の現在案と論点が見えづらくなっているので、蒲原さん＋BPRチームで可視化をお願いできますか？ 日々会話が進むと思うので、週次程度の頻度で最新案（未決定部分含む）と論点をこのチャネル上で共有するなどして、関係者全員の認識が揃える構造にしてもらいたく。,<@U0SBPJ484> 別スレッドでも話しましたが、「マーケから商談作成の業務フロー」「組織ごとのSalesforce環境の選択」「商談フェーズ」「帳票レイアウト」「管理用項目」「データ移行方針」等の現在案と論点が見えづらくなっているので、蒲原さん＋BPRチームで可視化をお願いできますか？ 日々会話が進むと思うので、週次程度の頻度で最新案（未決定部分含む）と論点をこのチャネル上で共有するなどして、関係者全員の認識が揃える構造にしてもらいたく。,Slack #pj-speeda-ops-and-system
<@U0SBPJ484> すでに確認しているかもしれませんが、こちら、竜さんに共有してもらったSPEEDA JP-R&amp;D間でのリード振り分けのルールです。竜さんも言っていましたが、SPEEDAではもともとJPとR&amp;Dが一体だったところから切り分けを経験しているので、SaaS事業内でも組織・事業を跨いだリードアサインルールの整備が進んでいると思うので、参考にしてもらえればと。 <https://docs.google.com/presentation/d/1zpyiJZioeSyv9jJ8nhJNQZRkdO_X5AgW2bihijkEflg/edit#slide=id.p|https://docs.google.com/presentation/d/1zpyiJZioeSyv9jJ8nhJNQZRkdO_X5AgW2bihijkEflg/edit#slide=id.p>,<@U0SBPJ484> すでに確認しているかもしれませんが、こちら、竜さんに共有してもらったSPEEDA JP-R&amp;D間でのリード振り分けのルールです。竜さんも言っていましたが、SPEEDAではもともとJPとR&amp;Dが一体だったところから切り分けを経験しているので、SaaS事業内でも組織・事業を跨いだリードアサインルールの整備が進んでいると思うので、参考にしてもらえればと。 <https://docs.google.com/presentation/d/1zpyiJZioeSyv9jJ8nhJNQZRkdO_X5AgW2bihijkEflg/edit#slide=id.p|https://docs.google.com/presentation/d/1zpyiJZioeSyv9jJ8nhJNQZRkdO_X5AgW2bihijkEflg/edit#slide=id.p>,Slack #pj-speeda-ops-and-system
<@U0SBPJ484> <@U029EUZTRGU> <@U7CKZ19BQ> 先ほどの商談を立てるタイミング・既存顧客管理・Salesforce環境選択ですが、意思決定構造に従うと「武藤/吉野（起案）・海野（経企・商社）・岡崎（組織横断）・張替（最終意思決定）」がいれば最低限良さそう。CSで傑さんに入ってもらうかどうかは海野さんに決めてもらいましょうか。,<@U0SBPJ484> <@U029EUZTRGU> <@U7CKZ19BQ> 先ほどの商談を立てるタイミング・既存顧客管理・Salesforce環境選択ですが、意思決定構造に従うと「武藤/吉野（起案）・海野（経企・商社）・岡崎（組織横断）・張替（最終意思決定）」がいれば最低限良さそう。CSで傑さんに入ってもらうかどうかは海野さんに決めてもらいましょうか。,Slack #pj-speeda-ops-and-system
<@U029EUZTRGU> <@U0SBPJ484> 海野さんから、「ISが過去商談を参照するときに環境を跨ぐと非効率性が非常に大きい」という話がありましたが、「ISが過去商談を参照するとき」のAsIsの業務プロセス図ってありますか？以下に見当たらず <https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%AB%E3%81%A7%E3%81%8D%E3%82%8B%E7%B5%84%E7%B9%94-%E8%87%AA%E7%94%B1%E5%B8%B3?type=whiteboard&node-id=0-1&t=eGO9cnTumXzyaxzA-0|https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83[…]4%B1%E5%B8%B3?type=whiteboard&node-id=0-1&t=eGO9cnTumXzyaxzA-0>,<@U029EUZTRGU> <@U0SBPJ484> 海野さんから、「ISが過去商談を参照するときに環境を跨ぐと非効率性が非常に大きい」という話がありましたが、「ISが過去商談を参照するとき」のAsIsの業務プロセス図ってありますか？以下に見当たらず <https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%AB%E3%81%A7%E3%81%8D%E3%82%8B%E7%B5%84%E7%B9%94-%E8%87%AA%E7%94%B1%E5%B8%B3?type=whiteboard&node-id=0-1&t=eGO9cnTumXzyaxzA-0|https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83[…]4%B1%E5%B8%B3?type=whiteboard&node-id=0-1&t=eGO9cnTumXzyaxzA-0>,Slack #pj-speeda-ops-and-system
<@U7CKZ19BQ> 商談が環境を跨ぐとSOの工数が非常にかかって大変（追加で3-4人必要）という話がありましたが、それが発生するのってどのポイントでしょうか？この「商談情報を更新する」の部分？ <https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%AB%E3%81%A7%E3%81%8D%E3%82%8B%E7%B5%84%E7%B9%94-%E8%87%AA%E7%94%B1%E5%B8%B3?type=whiteboard&amp;node-id=930-3573&amp;t=eGO9cnTumXzyaxzA-4|https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83[…]E5%B8%B3?type=whiteboard&amp;node-id=930-3573&amp;t=eGO9cnTumXzyaxzA-4>,<@U7CKZ19BQ> 商談が環境を跨ぐとSOの工数が非常にかかって大変（追加で3-4人必要）という話がありましたが、それが発生するのってどのポイントでしょうか？この「商談情報を更新する」の部分？ <https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%AB%E3%81%A7%E3%81%8D%E3%82%8B%E7%B5%84%E7%B9%94-%E8%87%AA%E7%94%B1%E5%B8%B3?type=whiteboard&amp;node-id=930-3573&amp;t=eGO9cnTumXzyaxzA-4|https://www.figma.com/file/GG3ewFZ70pmIr9J9pMqCTn/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83[…]E5%B8%B3?type=whiteboard&amp;node-id=930-3573&amp;t=eGO9cnTumXzyaxzA-4>,Slack #pj-speeda-ops-and-system
<@U029EUZTRGU> 改めて全体的には案を比較すると、案２が最有力、案３が次点という風に見えますね。むしろ特大はあるけど全体への影響を考えると案3のほうが良さそうにも見える。「ダミーではないセット商品の登録」ってFullsandで検証できないんでしたっけ？ <https://docs.google.com/spreadsheets/d/1WbccE846NI6j2loN28pM4-25RWj-xkwy7zU0D5Rctl0/edit#gid=33307866>,<@U029EUZTRGU> 改めて全体的には案を比較すると、案２が最有力、案３が次点という風に見えますね。むしろ特大はあるけど全体への影響を考えると案3のほうが良さそうにも見える。「ダミーではないセット商品の登録」ってFullsandで検証できないんでしたっけ？ <https://docs.google.com/spreadsheets/d/1WbccE846NI6j2loN28pM4-25RWj-xkwy7zU0D5Rctl0/edit#gid=33307866>,Slack #pj-speeda-ops-and-system
<@U6WQARY8J> （cc: <@U0SBPJ484> <@UFV0JQ5N0> <@U7CKZ19BQ> ）SPEEDA-INITIAL同時販売の環境について、昨日のSaaS経営会議にて、今日明日でIS・FSへの工数影響を削減する案を作る方針になったのでご協力よろしくお願いします。  特に以下の3点については比較的単純な可視化・転記作業のように思うので、現場メンバー交えて具体的な対応策と工数削減見込みを立てられればと思います。検討は蒲原さん中心に進めてもらいます。  • 重複検索時に、他のリードが無いか、過去/現在の商談・契約が無いか、アプローチしてよいか？の確認をする際にSPIN SFの情報が必要となる【IS 333時間/月】 • SPINでリードから商談作成する場合、新SFでも商談作成が必要となる(重複作業)【FS 100時間/月】 • 初回商談時に獲得したZoomのユーザー情報からSPIN SFに取引先責任者をつくり、それを新SFにも登録する必要がある【FS 100時間/月】 また、仮に既存環境を使うことになった場合、来期のSalesOpsの経企・Pro対応用業務委託費用を1500万円ほど追加する必要があると見込んでいます。木曜に方針を決めてから、もし既存環境を使う場合にはこちら側で予算に組み込んでおきます（安田さんと連携しておきます）。,<@U6WQARY8J> （cc: <@U0SBPJ484> <@UFV0JQ5N0> <@U7CKZ19BQ> ）SPEEDA-INITIAL同時販売の環境について、昨日のSaaS経営会議にて、今日明日でIS・FSへの工数影響を削減する案を作る方針になったのでご協力よろしくお願いします。  特に以下の3点については比較的単純な可視化・転記作業のように思うので、現場メンバー交えて具体的な対応策と工数削減見込みを立てられればと思います。検討は蒲原さん中心に進めてもらいます。  • 重複検索時に、他のリードが無いか、過去/現在の商談・契約が無いか、アプローチしてよいか？の確認をする際にSPIN SFの情報が必要となる【IS 333時間/月】 • SPINでリードから商談作成する場合、新SFでも商談作成が必要となる(重複作業)【FS 100時間/月】 • 初回商談時に獲得したZoomのユーザー情報からSPIN SFに取引先責任者をつくり、それを新SFにも登録する必要がある【FS 100時間/月】 また、仮に既存環境を使うことになった場合、来期のSalesOpsの経企・Pro対応用業務委託費用を1500万円ほど追加する必要があると見込んでいます。木曜に方針を決めてから、もし既存環境を使う場合にはこちら側で予算に組み込んでおきます（安田さんと連携しておきます）。,Slack #pj-speeda-ops-and-system
<@U0128F6A6TX> 来期予算の話です。  今日の話を経て経理・FPAの工数を使ってSPEEDA-INITIAL同時販売を乗り切る可能性が出ていると思います。これが現時点では負担が少ない案だとは思いますが、それでも経理・FPAにとっては追加工数になると思います。  なので、この対応としてHD側で概算で業務委託費用月額50万円（年額600万円）を追加予算として申請しようと思いますが、違和感ありますか？ ※なんだかんだパターンが多くなったり変更管理が発生して、最低でもこれくらいはかかる気がしています。,<@U0128F6A6TX> 来期予算の話です。  今日の話を経て経理・FPAの工数を使ってSPEEDA-INITIAL同時販売を乗り切る可能性が出ていると思います。これが現時点では負担が少ない案だとは思いますが、それでも経理・FPAにとっては追加工数になると思います。  なので、この対応としてHD側で概算で業務委託費用月額50万円（年額600万円）を追加予算として申請しようと思いますが、違和感ありますか？ ※なんだかんだパターンが多くなったり変更管理が発生して、最低でもこれくらいはかかる気がしています。,Slack #pj-speeda-ops-and-system
<@U029EUZTRGU> <@U0SBPJ484> 明日の確認で大丈夫です。来Qの目標設定を始めているので、このタイミングで4QのスケールできるセールスシステムPJの振り返りを行いませんか？ BPR・SP・FS・ISあたりの主要な関係者で振り返りを実施できればと。,<@U029EUZTRGU> <@U0SBPJ484> 明日の確認で大丈夫です。来Qの目標設定を始めているので、このタイミングで4QのスケールできるセールスシステムPJの振り返りを行いませんか？ BPR・SP・FS・ISあたりの主要な関係者で振り返りを実施できればと。,Slack #pj-speeda-ops-and-system
<@U0SBPJ484> LEND用に新Salesforce環境をどのようにするか（特にデータ移行）って誰かと会話していますか？データ参照用にTableauを使用するかどうか等、UB Analyticsの工数にも影響してくるので、データアーキテクチャ面で最終形の目線を揃えたく。,<@U0SBPJ484> LEND用に新Salesforce環境をどのようにするか（特にデータ移行）って誰かと会話していますか？データ参照用にTableauを使用するかどうか等、UB Analyticsの工数にも影響してくるので、データアーキテクチャ面で最終形の目線を揃えたく。,Slack #pj-speeda-ops-and-system
