question,answer,source
<@UGZ7TLBBJ> has joined the channel,<@UGZ7TLBBJ> has joined the channel,Slack #speeda-seo-fy2025
はい、今期とCOOの責任範囲が異なるという話もしているので、今期のCOOの位置付けや、一般的に言われるCOOの責任範囲とは異なる認識でいます。また、来期にCRO/CFO/CPOなどの横に存在する構造になるので、CEOと並んでいる状態ではないと思うので、そこの認識やレポートラインを揃えられればと思います。,はい、今期とCOOの責任範囲が異なるという話もしているので、今期のCOOの位置付けや、一般的に言われるCOOの責任範囲とは異なる認識でいます。また、来期にCRO/CFO/CPOなどの横に存在する構造になるので、CEOと並んでいる状態ではないと思うので、そこの認識やレポートラインを揃えられればと思います。,Slack #speeda-seo-fy2025
素案ありがとうございます。太田さんが今後の役割分担までを決める必要は無いと思うので（大変だと思うのと、そこまで責任も持てないと思うので）、こちらのリストを元に、後は張替・守屋・千葉を中心に来期のSVPメンバーで分担を決めていくのがいいと思います。,素案ありがとうございます。太田さんが今後の役割分担までを決める必要は無いと思うので（大変だと思うのと、そこまで責任も持てないと思うので）、こちらのリストを元に、後は張替・守屋・千葉を中心に来期のSVPメンバーで分担を決めていくのがいいと思います。,Slack #speeda-seo-fy2025
<@U3GDWDJS0> 上で共有したスライドは無しにして、太田さんの方のスライドをそのまま使うほうがいいですね,<@U3GDWDJS0> 上で共有したスライドは無しにして、太田さんの方のスライドをそのまま使うほうがいいですね,Slack #speeda-seo-fy2025
<@U3Z46KG4B> <@U06FZPTPL6N> <@U012NLARB6D> 傑さんに整理してもらってるのはありがたいものの、役割の認識を揃えたいんですが、スピーダのイシュー全体のオーナーは作田さん・翔陽さんですよね？太田さんも交えて役割を整理していた時にはそのように決めたと思うので（スクショ）。  なので、上の傑さんのやり取りは、主にプライシング（？）に関わる部分の整理をしていて、その後に全体戦略を作田さん・翔陽さんが検討・策定していく、という認識でいますが、合っていますか？,<@U3Z46KG4B> <@U06FZPTPL6N> <@U012NLARB6D> 傑さんに整理してもらってるのはありがたいものの、役割の認識を揃えたいんですが、スピーダのイシュー全体のオーナーは作田さん・翔陽さんですよね？太田さんも交えて役割を整理していた時にはそのように決めたと思うので（スクショ）。  なので、上の傑さんのやり取りは、主にプライシング（？）に関わる部分の整理をしていて、その後に全体戦略を作田さん・翔陽さんが検討・策定していく、という認識でいますが、合っていますか？,Slack #speeda-seo-fy2025
いや、上で翔陽さんと守屋さんもメンションしているのでコメントをお待ちいただければと,いや、上で翔陽さんと守屋さんもメンションしているのでコメントをお待ちいただければと,Slack #speeda-seo-fy2025
<@U06FZPTPL6N> <@U3Z46KG4B> <@U012NLARB6D> ありがとうございます。僕の目線は守屋さんのコメントに近いです。  イシューリストは「3年の中期経営計画（現行は、2023〜2025年のPLAY 2025）の達成における事業運営上の重要テーマを特定したリスト」で、エクイティストーリー（トップダウン）を起点にしてボトルネックを表すものです。この前提がそろっているなら、オーナーである翔陽さん・作田さんが必要だと思う範囲で、傑さん含むほかの方にサポートを依頼するのは特に違和感はないです。  ※イシューリストの説明は以下 <https://www.notion.so/uzabase/JPN-1654f841f3c54a9cab7e105408fac8f0>,<@U06FZPTPL6N> <@U3Z46KG4B> <@U012NLARB6D> ありがとうございます。僕の目線は守屋さんのコメントに近いです。  イシューリストは「3年の中期経営計画（現行は、2023〜2025年のPLAY 2025）の達成における事業運営上の重要テーマを特定したリスト」で、エクイティストーリー（トップダウン）を起点にしてボトルネックを表すものです。この前提がそろっているなら、オーナーである翔陽さん・作田さんが必要だと思う範囲で、傑さん含むほかの方にサポートを依頼するのは特に違和感はないです。  ※イシューリストの説明は以下 <https://www.notion.so/uzabase/JPN-1654f841f3c54a9cab7e105408fac8f0>,Slack #speeda-seo-fy2025
こないだの経営合宿で守屋さんから「今回のイシューリストは、現在のエクイティストーリーを前提に設定する」という話があったのでその前提で上の会話をしてますね。  エクイティストーリーを先にアップデートするでもいいとは思いますが、取締役会との合意が必要になると思うのでターゲット期日を決めて動いたほうがいいですね。,こないだの経営合宿で守屋さんから「今回のイシューリストは、現在のエクイティストーリーを前提に設定する」という話があったのでその前提で上の会話をしてますね。  エクイティストーリーを先にアップデートするでもいいとは思いますが、取締役会との合意が必要になると思うのでターゲット期日を決めて動いたほうがいいですね。,Slack #speeda-seo-fy2025
僕がエクイティストーリーの更新の議論に入っていないので状況わからないですが、エクイティストーリーはスピーダ事業というよりもUBが主語になる、かつ、PLやCFなどの定量数値とも接続されるので、12/20に間に合うかどうかはアップデートの規模次第ですね。一部だけ更新するなら12/13に全社SVPで事前協議して12/20の取締役会で共有・合意するでもいい気がします。,僕がエクイティストーリーの更新の議論に入っていないので状況わからないですが、エクイティストーリーはスピーダ事業というよりもUBが主語になる、かつ、PLやCFなどの定量数値とも接続されるので、12/20に間に合うかどうかはアップデートの規模次第ですね。一部だけ更新するなら12/13に全社SVPで事前協議して12/20の取締役会で共有・合意するでもいい気がします。,Slack #speeda-seo-fy2025
エクイティストーリーのアウトプットイメージはこれですね <https://docs.google.com/presentation/d/1vtAQkcthHZUse0zzt5TjA2uN3zHlWyD__WzIBXY1CGY/edit#slide=id.g2a1e2520705_0_155>,エクイティストーリーのアウトプットイメージはこれですね <https://docs.google.com/presentation/d/1vtAQkcthHZUse0zzt5TjA2uN3zHlWyD__WzIBXY1CGY/edit#slide=id.g2a1e2520705_0_155>,Slack #speeda-seo-fy2025
